Day,Traffic
0,4414136
1,6788583
2,7341179
3,5976928
4,5400237
5,7177000
6,7401991
7,7598863
8,7736182
9,8177190
10,6000043
11,5720696
12,7001708
13,7731971
14,7955922
15,7917587
16,8520319
17,6401668
18,5941596
19,7784821
20,7840263
21,8066444
22,8205272
23,8622364
24,6661237
25,6151892
26,7808974
27,7923211
28,8142388
29,8342908
30,8754613
31,6596005
32,6267637
33,7865381
34,8038970
35,8143082
36,8331949
37,8702006
38,6375689
39,5110897
40,7689517
41,7624867
42,8006094
43,8301116
44,8618329
45,5804825
46,5410143
47,7996657
48,8120957
49,8271015
50,8601304
51,8702000
52,6549574
53,6120565
54,7868104
55,7938012
56,8069397
57,8355048
58,8738725
59,5694331
60,6138216
61,7910427
62,8117876
63,8217957
64,8395645
65,8712119
66,6493568
67,6095908
68,7750558
69,7814491
70,7810975
71,7791266
72,7250370
73,4715808
74,3954583
75,5561257
76,3345884
77,5525606
78,5512657
79,5657736
80,3620130
81,3399868
82,4910562
83,4934181
84,4661454
85,4671033
86,4954137
87,1866670
88,0
89,2734958
90,2567492
91,2589731
92,2653076
93,2760481
94,1603428
95,1180509
96,2655321
97,2740379
98,2716897
99,2611208
100,2165642
101,1295152
102,774151
103,1090015
104,2607206
105,2720258
106,2743969
107,2833884
108,1502355
109,1075624
110,2690877
111,2776966
112,2917943
113,2905340
114,2922721
115,1602217
116,1158066
117,2865827
118,2975359
119,2991166
120,3077653
121,3057531
122,1696764
123,1212621
124,1476626
125,3322244
126,3361717
127,3437352
128,3491181
129,2009856
130,1535954
131,3336783
132,3463260
133,3557857
134,3670610
135,3769742
136,2279666
137,1795845
138,4288601
139,4458589
140,4602696
141,4684999
142,4613598
143,2845004
144,2256988
145,4610763
146,4711754
147,4861283
148,5007234
149,5049590
150,3036415
151,2282541
152,2650960
153,5077004
154,5089111
155,5197215
156,5354396
157,3341644
158,2790681
159,5579811
160,5618233
161,5700128
162,5805170
163,6045696
164,4346608
165,3775023
166,5813362
167,5898749
168,6021504
169,6070539
170,6372629
171,4707370
172,4140620
173,5822103
174,6093463
175,6361603
176,6636279
177,6841647
178,4988978
179,4322186
180,6599024
181,6644763
182,6892143
183,7153595
184,7426400
185,5738112
186,5227077
187,6841930
188,6745306
189,6868936
190,7144414
191,7716839
192,6146678
193,5639676
194,6898154
195,6918796
196,7199996
197,7402278
198,7737196
199,6153887
200,5902290
201,7191726
202,7232733
203,7295634
204,7411193
205,7828302
206,6184172
207,5696951
208,6994788
209,7185204
210,7332665
211,7617544
212,8081031
213,6503338
214,5465261
215,6116966
216,7218988
217,7292809
218,7580339
219,7992550
220,6272849
221,5710946
222,6927165
223,7057137
224,7422353
225,7455903
226,7907535
227,6252265
228,5472452
229,7014145
230,7177370
231,7021233
232,6978449
233,7769535
234,6059386
235,5646235
236,7192239
237,6763491
238,7431405
239,7189373
240,7712198
241,6129852
242,5734191
243,7034437
244,7061177
245,6970790
246,7122605
247,7843967
248,5973247
249,5598368
250,6839653
251,6851505
252,7125337
253,7223315
254,7779296
255,5954170
256,5772478
257,6918404
258,7102932
259,7267307
260,7444300
261,7948318
262,5381226
263,5050745
264,6664100
265,6653507
266,6889068
267,6958083
268,7468855
269,5354627
270,4904818
271,6575990
272,6921306
273,6926279
274,7101179
275,7509053
276,5339011
277,4244993
278,6673253
279,6913781
280,6288208
281,6366983
282,6600704
283,4340915
284,3636141
285,6143881
286,5628900
287,6406021
288,6573989
289,6698563
290,4337869
291,3599599
292,6366470
293,6575515
294,6919906
295,5362779
296,5500371
297,2759355
298,1872162
299,2380790
300,5184322
301,5230366
302,5298754
303,5543235
304,2998588
305,2324787
306,5459804
307,5622164
308,5693479
309,5840534
310,6034056
311,3426353
312,2610451
313,5608880
314,5951536
315,5923631
316,6121930
317,6358315
318,3679830
319,2925510
320,5879459
321,6008389
322,6095226
323,6170738
324,6388376
325,3784837
326,3085606
327,5959954
328,6036441
329,5981170
330,5897346
331,6091210
332,3622284
333,2886970
334,5659246
335,6237506
336,6431290
337,6587315
338,6891173
339,4756809
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
