Day,Confirmed Cases-6,Total Traffic,Date
0,0,4414136,01/01/2020
1,0,6788583,02/01/2020
2,0,7341179,03/01/2020
3,0,5976928,04/01/2020
4,0,5400237,05/01/2020
5,0,7177000,06/01/2020
6,0,7401991,07/01/2020
7,0,7598863,08/01/2020
8,0,7736182,09/01/2020
9,0,8177190,10/01/2020
10,0,6000043,11/01/2020
11,0,5720696,12/01/2020
12,0,7001708,13/01/2020
13,0,7731971,14/01/2020
14,0,7955922,15/01/2020
15,0,7917587,16/01/2020
16,0,8520319,17/01/2020
17,0,6401668,18/01/2020
18,0,5941596,19/01/2020
19,0,7784821,20/01/2020
20,0,7840263,21/01/2020
21,0,8066444,22/01/2020
22,0,8205272,23/01/2020
23,0,8622364,24/01/2020
24,0,6661237,25/01/2020
25,0,6151892,26/01/2020
26,0,7808974,27/01/2020
27,0,7923211,28/01/2020
28,0,8142388,29/01/2020
29,0,8342908,30/01/2020
30,0,8754613,31/01/2020
31,0,6596005,01/02/2020
32,0,6267637,02/02/2020
33,0,7865381,03/02/2020
34,0,8038970,04/02/2020
35,0,8143082,05/02/2020
36,0,8331949,06/02/2020
37,0,8702006,07/02/2020
38,0,6375689,08/02/2020
39,0,5110897,09/02/2020
40,0,7689517,10/02/2020
41,0,7624867,11/02/2020
42,0,8006094,12/02/2020
43,0,8301116,13/02/2020
44,0,8618329,14/02/2020
45,0,5804825,15/02/2020
46,0,5410143,16/02/2020
47,0,7996657,17/02/2020
48,0,8120957,18/02/2020
49,0,8271015,19/02/2020
50,0,8601304,20/02/2020
51,0,8702000,21/02/2020
52,0,6549574,22/02/2020
53,0,6120565,23/02/2020
54,0,7868104,24/02/2020
55,0,7938012,25/02/2020
56,0,8069397,26/02/2020
57,0,8355048,27/02/2020
58,0,8738725,28/02/2020
59,1,5694331,2020/02/29 00:00:00+00
60,1,6138216,2020/03/03 00:00:00+00
61,4,7910427,2020/03/04 00:00:00+00
62,7,8117876,2020/03/05 00:00:00+00
63,5,8217957,2020/03/06 00:00:00+00
64,1,8395645,2020/03/07 00:00:00+00
65,2,8712119,2020/03/08 00:00:00+00
66,3,6493568,2020/03/09 00:00:00+00
67,10,6095908,2020/03/10 00:00:00+00
68,9,7750558,2020/03/11 00:00:00+00
69,27,7814491,2020/03/12 00:00:00+00
70,20,7810975,2020/03/13 00:00:00+00
71,39,7791266,2020/03/14 00:00:00+00
72,40,7250370,2020/03/15 00:00:00+00
73,54,4715808,2020/03/16 00:00:00+00
74,69,3954583,2020/03/17 00:00:00+00
75,74,5561257,2020/03/18 00:00:00+00
76,191,3345884,2020/03/19 00:00:00+00
77,126,5525606,2020/03/20 00:00:00+00
78,102,5512657,2020/03/21 00:00:00+00
79,121,5657736,2020/03/22 00:00:00+00
80,219,3620130,2020/03/23 00:00:00+00
81,204,3399868,2020/03/24 00:00:00+00
82,235,4910562,2020/03/25 00:00:00+00
83,255,4934181,2020/03/26 00:00:00+00
84,302,4661454,2020/03/27 00:00:00+00
85,294,4671033,2020/03/28 00:00:00+00
86,200,4954137,2020/03/29 00:00:00+00
87,295,1866670,2020/03/30 00:00:00+00
89,325,2734958,2020/04/01 00:00:00+00
90,212,2567492,2020/04/02 00:00:00+00
91,402,2589731,2020/04/03 00:00:00+00
92,424,2653076,2020/04/04 00:00:00+00
93,331,2760481,2020/04/05 00:00:00+00
94,390,1603428,2020/04/06 00:00:00+00
95,345,1180509,2020/04/07 00:00:00+00
96,365,2655321,2020/04/08 00:00:00+00
97,500,2740379,2020/04/09 00:00:00+00
98,480,2716897,2020/04/10 00:00:00+00
99,553,2611208,2020/04/11 00:00:00+00
100,430,2165642,2020/04/12 00:00:00+00
101,527,1295152,2020/04/13 00:00:00+00
102,548,774151,2020/04/14 00:00:00+00
103,657,1090015,2020/04/15 00:00:00+00
104,629,2607206,2020/04/16 00:00:00+00
105,597,2720258,2020/04/17 00:00:00+00
106,630,2743969,2020/04/18 00:00:00+00
107,445,2833884,2020/04/19 00:00:00+00
108,401,1502355,2020/04/20 00:00:00+00
